year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,427,427,427,427
2023,0,248,248,248,248
2022,0,118,118,118,118
2021,0,149,149,149,149
2020,0,147,147,147,147
2019,0,120,120,120,120
2018,0,120,120,120,120
2017,0,120,120,120,120
2016,2,120,118,120,118
2015,0,56,56,56,56
