year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,61,61,61,61
2023,0,61,61,61,61
2022,0,59,59,59,59
2021,0,61,61,61,61
2020,0,60,60,60,60
2019,0,60,60,60,60
2018,0,60,60,60,60
2017,0,61,61,61,61
2016,1,61,60,61,60
2015,0,29,29,29,29
