품목명,selected_model,rank1_model,rank1_sMAPE,rank1_MAE,rank1_RMSE,rank1_MAPE,rank2_model,rank2_sMAPE,rank2_MAE,rank2_RMSE,rank2_MAPE,rank3_model,rank3_sMAPE,rank3_MAE,rank3_RMSE,rank3_MAPE
깐양파,WeekMean,WeekMean,16.702286502923048,282.4475016232823,302.3549711777112,14.589460222675733,HW-Add,19.170685298554567,292.5756581177736,311.46592444408094,21.129606699536833,HW-Mul,19.17938521575925,289.18644281276084,308.2940635185366,20.20298619058266
깐쪽파,WeekMean,WeekMean,19.343125463734044,1300.816282404309,1477.376267193524,20.875938684214663,RollMean(4w),29.152202562021955,1823.1820235973892,2185.417975637284,23.499662470926108,HW-Mul,31.439470231152466,1993.899300125072,2466.5042650409255,30.16652355741803
깻잎(일반),HW-Mul,HW-Mul,18.12912975928083,1105.3704405645276,1237.3906404008424,19.352588796736722,HW-Add,18.70512116541379,1128.8503001904035,1279.9302987737208,20.406914965007807,RollMean(4w),21.133815229969407,1270.4039083230439,1441.0784714131587,23.47536004737142
노랑파프리카,WeekMean,WeekMean,22.89848105429735,702.5262264693764,890.9633175165437,20.026060764712295,SeasonalNaive,28.78580796857815,998.7828930850948,1254.4507933615125,30.89150364790507,HW-Mul,29.639275230296672,1055.8006367400378,1208.0664808005324,35.28606873402054
녹광,SeasonalNaive,SeasonalNaive,24.30372642550354,1119.6044665674306,1359.0844118803864,23.934321549296772,RollMean(4w),26.630300482625398,1395.064288668467,1558.431423352742,32.10690583142981,WeekMean,26.70521601460454,1200.8761112468483,1466.823883117694,22.602034370413197
뉴그린,HW-Mul,HW-Mul,32.61014733140634,1090.6939457558035,1440.511322569076,42.79602904703726,SeasonalNaive,34.565095126733844,840.9524882164689,1101.7560788390308,28.268100875561387,HW-Add,35.88080854599887,1215.4676015325338,1575.645224891755,47.548769430257686
느타리버섯(일반),HW-Add,HW-Add,11.923678475558312,616.1259685651067,769.4953290970725,11.896534605935045,RollMean(4w),12.463111145762182,643.118829529477,780.8394266392555,12.447489584117411,HW-Mul,13.019466291921667,672.2031782480627,839.2230357174531,12.793709007103702
단호박,RollMean(4w),RollMean(4w),44.506140740863344,911.2389215277102,1216.6749470732211,51.747313835416186,WeekMean,47.051227162128896,900.1812374012898,1082.443314257895,54.48514040215654,HW-Add,51.154033337160946,1134.2021707549652,1335.4383481070693,115.31373025602971
당근(일반),HW-Add,HW-Add,14.323082316789197,198.09214290007017,228.614915700247,16.044459841382793,HW-Mul,20.967296851333597,279.5972291729308,299.20192422561513,24.139558869210617,RollMean(4w),24.535276505956073,360.22996476357804,381.75786993433877,29.648922696072095
대추방울,HW-Mul,HW-Mul,15.358769952316521,533.6266079409434,618.6633225284525,15.01721324615375,HW-Add,15.69585872924825,566.4918704795815,660.9856817631529,15.95012369640473,WeekMean,17.839448423305466,621.3418767199427,698.161248681477,16.27425771654521
대파(일반),HW-Add,HW-Add,12.75280685157287,124.34605260394397,161.0388865075603,13.356921289467726,HW-Mul,19.05033526781423,170.70625492121954,194.20481172557825,17.224545987589366,RollMean(4w),22.248422074966896,217.8834744223058,240.34048401778264,24.04620817665518
돌미나리,WeekMean,WeekMean,20.93655476876712,408.288052834687,597.0568812348737,17.201743727160018,SeasonalNaive,27.853410654813814,520.5143107184124,665.0019266954754,26.153637882751354,HW-Add,38.10857991520427,776.1365071402014,809.9939564992366,50.114948971595254
레드치커리,HW-Mul,HW-Mul,23.85526160774607,1744.8945585001284,1822.71682325677,30.346399578138534,HW-Add,26.295800392614506,2016.8476125234247,2338.8150948231832,34.943068650484086,WeekMean,35.771184998037235,2184.326771952925,2418.030840591526,28.156410904194274
마늘,RollMean(4w),RollMean(4w),6.222112908183061,440.5758324744232,495.70986355842905,6.0097407544126655,HW-Add,9.861485870623696,682.0112897509105,716.4600637465456,9.389328357257048,HW-Mul,10.490296205384757,721.7943034500407,764.7018262733178,9.879606219603017
만생양파,WeekMean,WeekMean,33.25417856909948,347.6895914132285,381.64430307488186,37.23082359273135,RollMean(4w),33.67763785191578,371.0367801707965,388.7095891122107,51.55800548547447,HW-Mul,34.92425947334208,383.38422840525845,412.1419648067027,54.29448722395761
맛느타리버섯,WeekMean,WeekMean,12.322198164483098,289.2375218627274,344.06845255216734,12.241684347194601,SeasonalNaive,12.365977542388658,323.5287110619858,389.12091376504026,13.339077298731405,HW-Mul,19.207499232552667,482.8988010722173,575.2285891712287,22.844755415374863
미나리(일반),HW-Add,HW-Add,13.76483514360109,473.959385230826,541.2329809042582,14.688221318325676,HW-Mul,19.067445148686573,584.102781967195,660.6563499735621,17.423917754971416,RollMean(4w),22.580268266497878,836.5463424804839,901.997719897066,26.188952292279552
밤고구마,HW-Mul,HW-Mul,10.494069213289176,212.4121084761057,248.91697574794537,10.309347833849358,RollMean(4w),11.752873123281097,225.87726504971693,261.39301066264835,11.15422434948134,HW-Add,12.417658506288282,253.8386057155832,280.91705134696946,12.471255429240378
방울토마토,HW-Mul,HW-Mul,22.83213268545937,614.6356424318294,683.8939153104608,22.820171572272113,HW-Add,25.383789037910713,724.5642209475996,830.2092438058753,28.396288327791126,WeekMean,26.200240198656683,681.4340068462985,766.5827498683657,23.538651307448664
백다다기,SeasonalNaive,SeasonalNaive,19.997123461720925,342.51959227108205,412.46383791986773,19.71199289329869,HW-Mul,23.13246992805276,443.7034005287433,528.167342108943,27.181355391130253,HW-Add,24.80030949372024,484.83599081635793,574.4544385701857,30.256848671172403
브로코리(국산),HW-Mul,HW-Mul,15.406510426090035,517.4454652432975,656.4545298172749,13.76812112607641,SeasonalNaive,17.714155185310954,802.0342938687905,1069.0867085680209,23.308314598773325,RollMean(4w),22.36361064308453,769.0507657856521,935.1866761115765,23.65482356987637
빨강파프리카,HW-Mul,HW-Mul,14.038060495855829,559.759579356977,712.7516484542012,13.794241634442741,HW-Add,17.068500241134753,672.2060042624312,739.9798018903716,17.762424841545762,SeasonalNaive,24.521049623173308,853.8258375036331,1067.1146927991683,20.62122474796307
새송이(일반),HW-Add,HW-Add,8.25568870137423,197.97760755781073,216.5858353935787,8.657466598259072,HW-Mul,8.885874692566693,216.49652915016387,236.94450257676013,9.350419753856949,RollMean(4w),9.87540898093147,235.84354226800966,265.50947469056626,10.577915361154593
수미,HW-Add,HW-Add,16.332861490560518,276.67852998433955,362.09760216087744,16.211262557992033,HW-Mul,16.852551071251938,286.7453758615407,359.77961758406803,15.673944385022471,SeasonalNaive,18.8150606415588,321.4493508650919,412.32261305619005,16.737888076368026
시금치(일반),HW-Mul,HW-Mul,8.31583716411136,243.35220054598244,288.86723604894206,8.63122957506441,HW-Add,11.324633328714825,350.25489958904546,407.3524253152231,11.526938607245627,SeasonalNaive,11.553886056248674,363.4193107264535,414.9349131485032,12.357592137435484
쑥갓(일반),HW-Add,HW-Add,47.43472889025009,2282.2454648209614,2635.6240972378896,83.04884795241345,HW-Mul,49.34028355830157,2529.089549324608,3147.1358620283213,100.67258536406098,WeekMean,52.88422982165815,2184.4732172779845,2640.327559288772,41.47451624455688
애호박,HW-Add,HW-Add,13.685508383163674,253.33710796060038,329.8276599343788,13.494125130966227,HW-Mul,14.24190026020227,258.29632261953844,318.7039957301707,13.356919087828985,RollMean(4w),22.315703497112725,460.5916789199948,519.0095218604393,26.052759603329992
양배추(일반),HW-Mul,HW-Mul,21.68599992491583,173.67907311679997,190.53300924903854,26.908614222508117,WeekMean,27.042661026773573,240.7293841532656,261.8519582672825,25.83087063165607,HW-Add,32.45501911582857,266.8747025849987,280.5410442717513,44.51934975336024
양상추(일반),WeekMean,WeekMean,10.175760317112326,117.41936730217094,142.78404643266842,9.654502519922314,HW-Add,13.468771921043752,159.56426145053368,175.12992311795873,14.333240991749912,HW-Mul,16.870080711754767,198.55618879633676,218.86926002809275,16.916878589610164
양송이(일반),SeasonalNaive,SeasonalNaive,14.690939344453483,959.2759099241799,1051.408684349964,14.13475321377058,WeekMean,14.807627517958798,965.5502416220388,1048.7289975657393,15.908784283285561,HW-Add,18.86653393145333,1264.0037737368223,1352.825014304048,20.377007031173388
영양부추,WeekMean,WeekMean,17.127300877268187,612.8942255884728,698.2768733831317,17.77600961978039,SeasonalNaive,25.316939833552286,989.9364597976946,1118.6310873865564,29.113669630937327,HW-Mul,27.349611221274063,1029.2164339240371,1228.27359281878,37.01881168369447
