year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,1015,1015,1015,1015
2023,0,965,965,965,965
2022,0,1013,1013,1013,1013
2021,0,1028,1028,1028,1028
2020,0,1027,1027,1027,1027
2019,0,1316,1316,1316,1316
2018,0,1326,1326,1326,1326
2017,0,1372,1372,1372,1372
2016,6,1442,1436,1442,1436
2015,0,835,835,835,835
