연도,거래일자,품목명,필드,채우기_이전값,채우기_이후값,공여자_전년도값,공여자_다음해_원래거래일자
2016,2016-02-28,적채(일반),반입량,,16153.0,16153.0,2017-02-28
2016,2016-02-28,적채(일반),금액,,26731941.0,26731941.0,2017-02-28
