year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,495,495,495,495
2023,0,693,693,693,693
2022,0,848,848,848,848
2021,0,852,852,852,852
2020,0,852,852,852,852
2019,0,850,850,850,850
2018,0,850,850,850,850
2017,0,851,851,851,851
2016,2,853,851,853,851
2015,0,427,427,427,427
