year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,405,405,405,405
2023,0,426,426,426,426
2022,0,397,397,397,397
2021,0,353,353,353,353
2020,0,243,243,243,243
2019,0,363,363,363,363
2018,0,320,320,320,320
2017,0,291,291,291,291
2016,1,363,362,363,362
2015,0,213,213,213,213
