year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,1,327,327,328,327
2023,0,326,326,326,326
2022,2,331,331,331,329
2021,1,370,370,371,370
2020,0,354,354,354,354
2019,0,349,349,349,349
2018,0,360,360,360,360
2017,0,334,334,334,334
2016,2,346,345,346,344
2015,0,95,95,95,95
