year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,2719,2719,2719,2719
2023,1,2611,2611,2611,2610
2022,0,2689,2689,2689,2689
2021,1,2760,2760,2760,2759
2020,2,3029,3029,3029,3027
2019,1,3009,3009,3009,3008
2018,1,3115,3115,3116,3115
2017,1,3204,3204,3204,3203
2016,3,3221,3218,3221,3218
2015,0,1677,1677,1677,1677
