year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,1568,1568,1568,1568
2023,0,1514,1514,1514,1514
2022,0,1504,1504,1504,1504
2021,0,1615,1615,1615,1615
2020,1,1572,1572,1572,1571
2019,2,1535,1535,1535,1533
2018,0,1445,1445,1445,1445
2017,1,1264,1264,1265,1264
2016,5,1201,1196,1201,1196
2015,0,571,571,571,571
