year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,791,791,791,791
2023,0,609,609,609,609
2022,0,466,466,465,465
2021,0,485,485,484,484
2020,0,481,481,481,481
2019,0,469,469,469,469
2018,0,473,473,471,471
2017,0,465,465,465,465
2016,2,477,475,477,475
2015,0,241,241,241,241
