year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,61,61,61,61
2023,0,70,70,70,70
2022,2,70,70,71,69
2021,0,66,66,66,66
2020,0,61,61,61,61
2019,2,67,67,67,65
2018,0,66,66,66,66
2017,1,63,63,64,63
2016,1,70,69,70,69
2015,0,30,30,30,30
