연도,거래일자,품목명,필드,채우기_이전값,채우기_이후값,공여자_전년도값,공여자_다음해_원래거래일자
2022,2022-12-17,당근(일반),금액,,-1785000.0,-1785000.0,2023-12-17
2022,2022-07-30,당근(일반),금액,,-4765000.0,-4765000.0,2023-07-30
2019,2019-07-13,당근(일반),금액,,-825000.0,-825000.0,2020-07-13
2019,2019-04-06,당근(일반),금액,,-300000.0,-300000.0,2020-04-06
2017,2017-08-26,당근(일반),금액,,-908000.0,-908000.0,2018-08-26
2016,2016-02-28,당근(일반),반입량,,280579.0,280579.0,2017-02-28
2016,2016-02-28,당근(일반),금액,,230370720.0,230370720.0,2017-02-28
