year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,253,253,253,253
2023,0,238,238,238,238
2022,0,226,226,226,226
2021,0,235,235,235,235
2020,1,238,238,238,237
2019,2,227,227,227,225
2018,2,238,238,239,237
2017,0,260,260,260,260
2016,2,338,336,338,336
2015,0,155,155,155,155
