year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,167,167,167,167
2023,0,149,149,149,149
2022,0,133,133,133,133
2021,0,168,168,168,168
2020,1,135,135,135,134
2019,2,140,140,140,138
2018,0,132,132,132,132
2017,0,135,135,135,135
2016,2,134,132,134,132
2015,0,64,64,64,64
