year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,67,67,67,67
2023,0,62,62,62,62
2022,0,60,60,60,60
2021,1,62,62,62,61
2020,0,61,61,61,61
2019,0,60,60,60,60
2018,0,60,60,60,60
2017,0,60,60,60,60
2016,1,60,59,60,59
2015,0,28,28,28,28
