year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,1,164,164,165,164
2023,0,165,165,165,165
2022,0,147,147,147,147
2021,0,141,141,141,141
2020,0,118,118,118,118
2019,0,147,147,147,147
2018,0,120,120,120,120
2017,0,97,97,97,97
2016,1,97,96,97,96
2015,0,28,28,28,28
