year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,244,244,244,244
2023,0,244,244,244,244
2022,0,237,237,237,237
2021,0,244,244,244,244
2020,0,241,241,241,241
2019,0,241,241,241,241
2018,0,240,240,240,240
2017,0,243,243,243,243
2016,4,242,238,242,238
2015,0,112,112,112,112
