year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,491,491,491,491
2023,0,488,488,488,488
2022,0,483,483,483,483
2021,0,489,489,489,489
2020,0,487,487,487,487
2019,0,491,491,491,491
2018,0,488,488,488,488
2017,0,185,185,185,185
2016,3,184,181,184,181
2015,0,85,85,85,85
