연도,거래일자,품목명,필드,채우기_이전값,채우기_이후값,공여자_전년도값,공여자_다음해_원래거래일자
2016,2016-02-28,레드치커리,반입량,,4523.0,4523.0,2017-02-28
2016,2016-02-28,치커리(일반),반입량,,21868.0,21868.0,2017-02-28
2016,2016-02-28,치콘,반입량,,374.0,374.0,2017-02-28
2016,2016-02-28,레드치커리,금액,,11302018.0,11302018.0,2017-02-28
2016,2016-02-28,치커리(일반),금액,,41582972.0,41582972.0,2017-02-28
2016,2016-02-28,치콘,금액,,1654200.0,1654200.0,2017-02-28
