year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,120,120,120,120
2023,1,128,128,129,128
2022,0,118,118,118,118
2021,0,122,122,122,122
2020,0,120,120,120,120
2019,0,120,120,120,120
2018,0,120,120,120,120
2017,0,120,120,120,120
2016,2,120,118,120,118
2015,0,56,56,56,56
