year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,125,125,125,125
2023,3,130,130,131,128
2022,0,129,129,129,129
2021,1,127,127,127,126
2020,1,122,122,123,122
2019,0,126,126,126,126
2018,1,127,127,127,126
2017,1,121,121,122,121
2016,3,149,147,149,146
2015,0,58,58,58,58
