연도,거래일자,품목명,필드,채우기_이전값,채우기_이후값,공여자_전년도값,공여자_다음해_원래거래일자
2016,2016-02-28,영양부추,반입량,,2042.0,2042.0,2017-02-28
2016,2016-02-28,일반부추,반입량,,91116.0,91116.0,2017-02-28
2016,2016-02-28,영양부추,금액,,19347570.0,19347570.0,2017-02-28
2016,2016-02-28,일반부추,금액,,178429218.0,178429218.0,2017-02-28
