year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,487,487,487,487
2023,0,487,487,487,487
2022,0,483,483,483,483
2021,0,487,487,487,487
2020,0,486,486,486,486
2019,0,485,485,485,485
2018,0,485,485,485,485
2017,0,485,485,485,485
2016,2,486,484,486,484
2015,0,235,235,235,235
