year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,121,121,121,121
2023,0,122,122,122,122
2022,0,118,118,118,118
2021,0,122,122,122,122
2020,0,120,120,120,120
2019,0,120,120,120,120
2018,0,120,120,120,120
2017,0,121,121,121,121
2016,2,121,119,121,119
2015,0,56,56,56,56
