year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,1,246,246,246,245
2023,0,300,300,300,300
2022,0,409,409,409,409
2021,0,426,426,426,426
2020,0,407,407,407,407
2019,0,394,394,394,394
2018,0,248,248,248,248
2017,0,270,270,270,270
2016,1,388,387,388,387
2015,0,199,199,199,199
