year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,177,177,177,177
2023,0,250,250,250,250
2022,0,278,278,278,278
2021,0,232,232,232,232
2020,0,275,275,275,275
2019,0,275,275,275,275
2018,0,243,243,243,243
2017,0,260,260,258,258
2016,2,181,179,181,179
2015,0,127,127,127,127
