연도,거래일자,품목명,필드,채우기_이전값,채우기_이후값,공여자_전년도값,공여자_다음해_원래거래일자
2016,2016-02-28,시금치(일반),반입량,,75564.0,75564.0,2017-02-28
2016,2016-02-28,시금치(일반),금액,,131396957.0,131396957.0,2017-02-28
