year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,183,183,183,183
2023,0,268,268,268,268
2022,0,206,206,206,206
2021,0,183,183,183,183
2020,0,180,180,180,180
2019,0,180,180,180,180
2018,0,180,180,180,180
2017,0,181,181,181,181
2016,3,181,178,181,178
2015,0,86,86,86,86
