year,filled_rows,qty_before,qty_after,amt_before,amt_after
2024,0,186,186,186,186
2023,0,185,185,185,185
2022,0,190,190,190,190
2021,0,193,193,193,193
2020,0,183,183,183,183
2019,0,180,180,180,180
2018,0,182,182,182,182
2017,0,182,182,182,182
2016,3,181,178,181,178
2015,0,85,85,85,85
