"°Å·¡ÀÏÀÚ","Ç°¸ס¸ם","¹ÝÀÔ·®","±Ý¾×","Àü³ג ¹ÝÀÔ·®","Àü³ג ¹ÝÀÔ·® Áץ°¨·ü(%)","Àü³ג ±Ý¾×","Àü³ג ±Ý¾× Áץ°¨·ü(%)","Æע³ג ¹ÝÀÔ·®","Æע³ג ¹ÝÀÔ·® Áץ°¨·ü(%)","Æע³ג ±Ý¾×","Æע³ג ±Ý¾× Áץ°¨·ü(%)"
"2025-06-30","ÆØÀÌ","59120","81630000",,"0.0",,"0.0","57909","2.1","82898067","-1.5"
"2025-06-29","ÆØÀÌ",,,"55370","0.0","85877000","0.0","57878","0.0","84496217","0.0"
"2025-06-28","ÆØÀÌ","58525","78736000","55480","5.5","78769000","0.0","57171","2.4","83185467","-5.3"
"2025-06-27","ÆØÀÌ","56310","73113000","56010","0.5","79821000","-8.4","56524","-0.4","81819083","-10.6"
"2025-06-26","ÆØÀÌ","54830","67560000","55590","-1.4","77077500","-12.3","56172","-2.4","79699383","-15.2"
"2025-06-25","ÆØÀÌ","55665","67411500","52225","6.6","75740000","-11.0","55871","-0.4","79610717","-15.3"
"2025-06-24","ÆØÀÌ","55730","67338500","58645","-5.0","84868500","-20.7","55967","-0.4","80990083","-16.9"
"2025-06-23","ÆØÀÌ","60820","75958000",,"0.0",,"0.0","55768","9.1","82159983","-7.5"
"2025-06-22","ÆØÀÌ",,,"56370","0.0","69225500","0.0","56744","0.0","82149333","0.0"
"2025-06-21","ÆØÀÌ","56510","70214000","53465","5.7","67328500","4.3","57457","-1.6","82452683","-14.8"
"2025-06-20","ÆØÀÌ","55625","67890000","57700","-3.6","78213500","-13.2","57784","-3.7","82941425","-18.1"
"2025-06-19","ÆØÀÌ","55595","69799000","55380","0.4","86536500","-19.3","57910","-4.0","84254745","-17.2"
"2025-06-18","ÆØÀÌ","56335","74444000","59380","-5.1","100099500","-25.6","57673","-2.3","86620162","-14.1"
"2025-06-17","ÆØÀÌ","54595","75492500","56485","-3.3","95280000","-20.8","56320","-3.1","86529078","-12.8"
"2025-06-16","ÆØÀÌ","58045","83642500",,"0.0",,"0.0","55700","4.2","85090178","-1.7"
"2025-06-15","ÆØÀÌ",,,"53065","0.0","78842500","0.0","55035","0.0","84092537","0.0"
"2025-06-14","ÆØÀÌ","57795","82462000","54980","5.1","76963500","7.1","55144","4.8","83771200","-1.6"
"2025-06-13","ÆØÀÌ","54285","80094500","52320","3.8","74740000","7.2","55574","-2.3","84335450","-5.0"
"2025-06-12","ÆØÀÌ","54625","83373500","57565","-5.1","90195000","-7.6","56314","-3.0","86149150","-3.2"
"2025-06-11","ÆØÀÌ","54665","87044000","56065","-2.5","97530000","-10.8","57017","-4.1","88184567","-1.3"
"2025-06-10","ÆØÀÌ","55700","95177000","57375","-2.9","107823500","-11.7","58034","-4.0","89114750","6.8"
"2025-06-09","ÆØÀÌ","58755","106116500",,"0.0",,"0.0","58816","-0.1","89933150","18.0"
"2025-06-08","ÆØÀÌ",,,"58655","0.0","102465000","0.0","58569","0.0","91478817","0.0"
"2025-06-07","ÆØÀÌ","58820","106493000","60650","-3.0","96496500","10.4","58590","0.4","92584933","15.0"
"2025-06-06","ÆØÀÌ","57405","106658500","54210","5.9","83704000","27.4","58433","-1.8","93542150","14.0"
"2025-06-05","ÆØÀÌ","55630","103871500","54790","1.5","93184500","11.5","58482","-4.9","93161877","11.5"
"2025-06-04","ÆØÀÌ","56015","105984500","54295","3.2","100526500","5.4","58267","-3.9","91493740","15.8"
"2025-06-03","ÆØÀÌ","53835","106694000","57135","-5.8","91837400","16.2","58687","-8.3","90175640","18.3"
"2025-06-02","ÆØÀÌ","56995","114343500",,"0.0",,"0.0","58378","-2.4","88840407","28.7"
"2025-06-01","ÆØÀÌ",,,"56465","0.0","76028500","0.0","58128","0.0","89051150","0.0"
"2025-05-31","ÆØÀÌ","56485","109107000","59210","-4.6","87208500","25.1","58051","-2.7","92984447","17.3"
"2025-05-30","ÆØÀÌ","52780","96923000","58620","-10.0","98666500","-1.8","57458","-8.1","96749717","0.2"
"2025-05-29","ÆØÀÌ","52000","89466500","57880","-10.2","108942500","-17.9","57011","-8.8","100049850","-10.6"
"2025-05-28","ÆØÀÌ","53510","93282000","56290","-4.9","113598500","-17.9","57038","-6.2","99964367","-6.7"
"2025-05-27","ÆØÀÌ","53710","94733500","60505","-11.2","109334500","-13.4","56412","-4.8","98417150","-3.7"
"2025-05-26","ÆØÀÌ","55090","96374500",,"0.0",,"0.0","56068","-1.7","95993533","0.4"
"2025-05-25","ÆØÀÌ",,,"58135","0.0","100110500","0.0","56784","0.0","96289600","0.0"
"2025-05-24","ÆØÀÌ","51960","83484500","54435","-4.5","100635000","-17.0","56938","-8.7","97238400","-14.1"
"2025-05-23","ÆØÀÌ","50085","77967500","57260","-12.5","114111000","-31.7","56912","-12.0","98865150","-21.1"
"2025-05-22","ÆØÀÌ","51005","82258500","56700","-10.0","126164000","-34.8","56431","-9.6","98505583","-16.5"
"2025-05-21","ÆØÀÌ","50875","86453000","56090","-9.3","141804500","-39.0","56640","-10.2","97026950","-10.9"
"2025-05-20","ÆØÀÌ","56110","100987500","58795","-4.6","158822000","-36.4","56831","-1.3","94875683","6.4"
"2025-05-19","ÆØÀÌ","58410","107285000",,"0.0",,"0.0","57223","2.1","94746967","13.2"
"2025-05-18","ÆØÀÌ",,,"56020","0.0","149690500","0.0","57652","0.0","95611717","0.0"
"2025-05-17","ÆØÀÌ","56710","104857000","57345","-1.1","152199500","-31.1","57776","-1.8","97579333","7.5"
"2025-05-16","ÆØÀÌ","55895","105251500","56540","-1.1","148588500","-29.2","58574","-4.6","99615517","5.7"
"2025-05-15","ÆØÀÌ","53465","102300000","53285","0.3","142771000","-28.3","58504","-8.6","102198017","0.1"
"2025-05-14","ÆØÀÌ","56610","110672500","57000","-0.7","149544500","-26.0","58749","-3.6","103784217","6.6"
"2025-05-13","ÆØÀÌ","59310","119498000","62415","-5.0","161738500","-26.1","58685","1.1","107108583","11.6"
"2025-05-12","ÆØÀÌ","58895","121975000",,"0.0",,"0.0","58865","0.1","110683033","10.2"
"2025-05-11","ÆØÀÌ",,,"59780","0.0","149265500","0.0","58799","0.0","114337367","0.0"
"2025-05-10","ÆØÀÌ","60075","123704500","58705","2.3","142181000","-13.0","58755","2.2","119249983","3.7"
"2025-05-09","ÆØÀÌ","57040","117468500","58875","-3.1","137773500","-14.7","59257","-3.7","118208150","-0.6"
"2025-05-08","ÆØÀÌ","56385","118283500","59470","-5.2","133640500","-11.5","59438","-5.1","116784017","1.3"
"2025-05-07","ÆØÀÌ","56600","120135000","57150","-1.0","129705000","-7.4","59260","-4.5","114495600","4.9"
"2025-05-06","ÆØÀÌ","56600","122086500","60035","-5.7","138730000","-12.0","58636","-3.5","111128767","9.9"
"2025-05-05","ÆØÀÌ","57580","119342000",,"0.0",,"0.0","58417","-1.4","108103717","10.4"
"2025-05-04","ÆØÀÌ",,,"57520","0.0","122897500","0.0","58326","0.0","105450967","0.0"
"2025-05-03","ÆØÀÌ","57430","112943000","56905","0.9","110882500","1.9","58202","-1.3","103492550","9.1"
"2025-05-02","ÆØÀÌ","55910","108725000","57630","-3.0","108725500","0.0","58552","-4.5","103748500","4.8"
"2025-05-01","ÆØÀÌ","56635","111550500","60165","-5.9","121082500","-7.9","59469","-4.8","106570467","4.7"
"2025-04-30","ÆØÀÌ","56380","112934500","61725","-8.7","134658000","-16.1","60080","-6.2","107420267","5.1"
"2025-04-29","ÆØÀÌ","53695","105255000","63965","-16.1","147227000","-28.5","60018","-10.5","107392283","-2.0"
"2025-04-28","ÆØÀÌ","57840","111274000",,"0.0",,"0.0","59910","-3.5","107921783","3.1"
"2025-04-27","ÆØÀÌ",,,"59430","0.0","138237500","0.0","59028","0.0","109204317","0.0"
"2025-04-26","ÆØÀÌ","55135","104697000","59610","-7.5","136620000","-23.4","58035","-5.0","109706083","-4.6"
"2025-04-25","ÆØÀÌ","51140","98548500","56360","-9.3","113856000","-13.4","57099","-10.4","107695617","-8.5"
"2025-04-24","ÆØÀÌ","53495","103674000","58200","-8.1","110108000","-5.8","56939","-6.0","106038817","-2.2"
"2025-04-23","ÆØÀÌ","54000","106339500","56300","-4.1","106633000","-0.3","56822","-5.0","104250100","2.0"
"2025-04-22","ÆØÀÌ","56910","118291000","60015","-5.2","118208500","0.1","57098","-0.3","103841467","13.9"
"2025-04-21","ÆØÀÌ","55810","119315000",,"0.0",,"0.0","57639","-3.2","105402000","13.2"
"2025-04-20","ÆØÀÌ",,,"60595","0.0","126387000","0.0","59079","0.0","108731783","0.0"
"2025-04-19","ÆØÀÌ","55410","114254500","58860","-5.9","132577500","-13.8","60246","-8.0","111159617","2.8"
"2025-04-18","ÆØÀÌ","55415","113524000","62225","-10.9","146452500","-22.5","59718","-7.2","111379283","1.9"
"2025-04-17","ÆØÀÌ","53240","112102500","62315","-14.6","155491500","-27.9","59613","-10.7","111175983","0.8"
"2025-04-16","ÆØÀÌ","55665","118893000","50965","9.2","132160500","-10.0","58938","-5.6","109925450","8.2"
"2025-04-15","ÆØÀÌ","57305","126181500","59685","-4.0","153246500","-17.7","58122","-1.4","109528983","15.2"
"2025-04-14","ÆØÀÌ","56640","126752500",,"0.0",,"0.0","57414","-1.3","108765300","16.5"
"2025-04-13","ÆØÀÌ",,,"56415","0.0","137744000","0.0","57885","0.0","109404908","0.0"
"2025-04-12","ÆØÀÌ","59365","131598500","56635","4.8","139107500","-5.4","58111","2.2","110807625","18.8"
"2025-04-11","ÆØÀÌ","57705","129775000","61685","-6.5","152977500","-15.2","58458","-1.3","113181742","14.7"
"2025-04-10","ÆØÀÌ","56475","128631500","57995","-2.6","150058500","-14.3","58753","-3.9","115156875","11.7"
"2025-04-09","ÆØÀÌ","58575","138500000","56625","3.4","155990500","-11.2","58541","0.1","114981092","20.5"
"2025-04-08","ÆØÀÌ","56300","139424000","58045","-3.0","162554000","-14.2","57833","-2.7","114699433","21.6"
"2025-04-07","ÆØÀÌ","58090","150131500",,"0.0",,"0.0","57240","1.5","113406417","32.4"
"2025-04-06","ÆØÀÌ",,,"55410","0.0","153965000","0.0","57609","0.0","112828850","0.0"
"2025-04-05","ÆØÀÌ","60635","156125000","57100","6.2","161439000","-3.3","57827","4.9","111532167","40.0"
"2025-04-04","ÆØÀÌ","54490","132782500","57065","-4.5","158312500","-16.1","58340","-6.6","111479333","19.1"
"2025-04-03","ÆØÀÌ","55530","130743000","58145","-4.5","168142500","-22.2","58573","-5.2","111407367","17.4"
"2025-04-02","ÆØÀÌ","54445","130490500","58330","-6.7","170618500","-23.5","58695","-7.2","111069900","17.5"
"2025-04-01","ÆØÀÌ","55855","144225000","58630","-4.7","167429000","-13.9","58407","-4.4","109032783","32.3"
"2025-03-31","ÆØÀÌ","60160","166557500",,"0.0",,"0.0","58318","3.2","106483333","56.4"
"2025-03-30","ÆØÀÌ",,,"55850","0.0","149768500","0.0","58315","0.0","104629300","0.0"
"2025-03-29","ÆØÀÌ","50145","127162500","58765","-14.7","157430500","-19.2","57807","-13.3","102234217","24.4"
"2025-03-28","ÆØÀÌ","48410","107608000","58545","-17.3","158947000","-32.3","58517","-17.3","102618267","4.9"
"2025-03-27","ÆØÀÌ","51765","114505000","57470","-9.9","158184000","-27.6","59415","-12.9","103221633","10.9"
"2025-03-26","ÆØÀÌ","51450","106175000","59810","-14.0","167209500","-36.5","59905","-14.1","104115867","2.0"
"2025-03-25","ÆØÀÌ","51110","97825500","59815","-14.6","171865500","-43.1","60248","-15.2","105380100","-7.2"
"2025-03-24","ÆØÀÌ","56865","101321500",,"0.0",,"0.0","60885","-6.6","109136183","-7.2"
"2025-03-23","ÆØÀÌ",,,"58300","0.0","170166000","0.0","60990","0.0","112311283","0.0"
"2025-03-22","ÆØÀÌ","55950","98266000","59555","-6.1","177661000","-44.7","61138","-8.5","116111350","-15.4"
"2025-03-21","ÆØÀÌ","54995","96278500","61535","-10.6","177003500","-45.6","60451","-9.0","120427133","-20.1"
"2025-03-20","ÆØÀÌ","60655","105632000","59655","1.7","165014500","-36.0","60427","0.4","122331733","-13.7"
"2025-03-19","ÆØÀÌ","59560","106145000","59350","0.4","164411500","-35.4","59981","-0.7","122056367","-13.0"
"2025-03-18","ÆØÀÌ","60865","111979500","60360","0.8","171415000","-34.7","59165","2.9","122221717","-8.4"
"2025-03-17","ÆØÀÌ","62445","116085500",,"0.0",,"0.0","58097","7.5","122106117","-4.9"
"2025-03-16","ÆØÀÌ",,,"59166","0.0","169887400","0.0","56316","0.0","121823950","0.0"
"2025-03-15","ÆØÀÌ","61205","115953000","59394","3.0","170587100","-32.0","55737","9.8","122558300","-5.4"
"2025-03-14","ÆØÀÌ","61080","122433000","59260","3.1","170867000","-28.3","55649","9.8","122522250","-0.1"
"2025-03-13","ÆØÀÌ","63220","135391500","60540","4.4","173095000","-21.8","55193","14.5","120929283","12.0"
"2025-03-12","ÆØÀÌ","65610","151017500","58555","12.0","164600500","-8.3","54554","20.3","118843533","27.1"
"2025-03-11","ÆØÀÌ","66985","161228000","60000","11.6","180836500","-10.8","54519","22.9","119733600","34.7"
"2025-03-10","ÆØÀÌ","66595","167372000",,"0.0",,"0.0","54346","22.5","120827883","38.5"
"2025-03-09","ÆØÀÌ",,,"54970","0.0","183572500","0.0","53992","0.0","124039167","0.0"
"2025-03-08","ÆØÀÌ","64845","163272000","49327","31.5","156420500","4.4","54257","19.5","127535900","28.0"
"2025-03-07","ÆØÀÌ","64065","172414000","51610","24.1","145127000","18.8","55433","15.6","133784383","28.9"
"2025-03-06","ÆØÀÌ","62775","181526500","57620","8.9","153745500","18.1","56054","12.0","135792250","33.7"
"2025-03-05","ÆØÀÌ",,,"59830","0.0","173000000","0.0","56675","0.0","135246817","0.0"
"2025-03-04","ÆØÀÌ","65650","189603500","65735","-0.1","229011000","-17.2","56597","16.0","131433367","44.3"
"2025-03-03","ÆØÀÌ","66980","186101000",,"0.0",,"0.0","56821","17.9","129875567","43.3"
"2025-03-02","ÆØÀÌ",,,,"0.0",,"0.0","57014","0.0","128326583","0.0"
"2025-03-01","ÆØÀÌ","56580","148763000","58930","-4.0","162010000","-8.2","56796","-0.4","129430367","14.9"
"2025-02-28","ÆØÀÌ","56255","144158500","56065","0.3","142624000","1.1","58389","-3.7","127147033","13.4"
"2025-02-27","ÆØÀÌ","53125","134568000","55505","-4.3","138226000","-2.6","57925","-8.3","124944533","7.7"
"2025-02-26","ÆØÀÌ","57130","146400500","60945","-6.3","133889000","9.3","56648","0.9","122124033","19.9"
"2025-02-25","ÆØÀÌ","54545","143053000",,"0.0",,"0.0","56287","-3.1","118529117","20.7"
"2025-02-24","ÆØÀÌ","61470","162506500","56165","9.4","103243500","57.4","55269","11.2","112718067","44.2"
"2025-02-23","ÆØÀÌ",,,"55910","0.0","94408500","0.0","53552","0.0","106936300","0.0"
"2025-02-22","ÆØÀÌ","61290","162292500","55370","10.7","92093000","76.2","54644","12.2","101760350","59.5"
"2025-02-21","ÆØÀÌ","56370","153514500","64870","-13.1","106167000","44.6","56425","-0.1","99899150","53.7"
"2025-02-20","ÆØÀÌ","57105","155198500","58475","-2.3","95531000","62.5","56825","0.5","98898750","56.9"
"2025-02-19","ÆØÀÌ","59140","162710000","61090","-3.2","100697000","61.6","56891","4.0","98807383","64.7"
"2025-02-18","ÆØÀÌ","56910","156943500",,"0.0",,"0.0","56115","1.4","98447717","59.4"
"2025-02-17","ÆØÀÌ","61765","165285000","61195","0.9","100492500","64.5","55677","10.9","98636750","67.6"
"2025-02-16","ÆØÀÌ",,,"57825","0.0","98638000","0.0","55243","0.0","100278017","0.0"
"2025-02-15","ÆØÀÌ","55835","145384000","58495","-4.5","104461000","39.2","54933","1.6","102008675","42.5"
"2025-02-14","ÆØÀÌ","58080","152391500","59725","-2.8","122800000","24.1","54625","6.3","103707663","46.9"
"2025-02-13","ÆØÀÌ","63055","183772000","57195","10.2","131318000","39.9","54751","15.2","104477071","75.9"
"2025-02-12","ÆØÀÌ",,,,"0.0",,"0.0","55191","0.0","107123388","0.0"
"2025-02-11","ÆØÀÌ","72405","212500500",,"0.0",,"0.0","55734","29.9","109599646","93.9"
"2025-02-10","ÆØÀÌ","66770","180706500",,"0.0",,"0.0","57464","16.2","117832013","53.4"
"2025-02-09","ÆØÀÌ",,,"54005","0.0","115120500","0.0","58102","0.0","122302683","0.0"
"2025-02-08","ÆØÀÌ","61135","158550500","70585","-13.4","192958000","-17.8","58531","4.4","126889650","25.0"
"2025-02-07","ÆØÀÌ","62845","159720500","71805","-12.5","206106500","-22.5","58493","7.4","129951267","22.9"
"2025-02-06","ÆØÀÌ","59790","159123500","68905","-13.2","197282500","-19.3","59010","1.3","130872200","21.6"
"2025-02-05","ÆØÀÌ","54475","156465000","64575","-15.6","185493000","-15.6","59186","-8.0","132856831","17.8"
"2025-02-04","ÆØÀÌ","57190","170952750",,"0.0",,"0.0","59655","-4.1","135966394","25.7"
"2025-02-03","ÆØÀÌ","57270","163158000","65190","-12.1","170303500","-4.2","60466","-5.3","139512219","16.9"
"2025-02-02","ÆØÀÌ",,,"62465","0.0","155335500","0.0","59259","0.0","137938085","0.0"
"2025-02-01","ÆØÀÌ","59770","161761000","65650","-9.0","159964500","1.1","57464","4.0","135485635","19.4"
"2025-01-31","ÆØÀÌ",,,"64750","0.0","160694500","0.0","57602","0.0","138090638","0.0"
"2025-01-30","ÆØÀÌ",,,"63745","0.0","162403000","0.0","57799","0.0","142221942","0.0"
"2025-01-29","ÆØÀÌ",,,"66060","0.0","162781000","0.0","58474","0.0","144626383","0.0"
"2025-01-28","ÆØÀÌ","60105","153999500",,"0.0",,"0.0","60004","0.2","140709050","9.4"
"2025-01-27","ÆØÀÌ","77250","229193500","63920","20.9","140056000","63.6","59796","29.2","135091779","69.7"
"2025-01-26","ÆØÀÌ",,,"62100","0.0","126155000","0.0","59738","0.0","132027279","0.0"
"2025-01-25","ÆØÀÌ","68460","206340500","59785","14.5","121988000","69.1","59186","15.7","132927763","55.2"
"2025-01-24","ÆØÀÌ","62235","186035500","64360","-3.3","140015000","32.9","58396","6.6","134814925","38.0"
"2025-01-23","ÆØÀÌ","62250","181043000","60940","2.1","138300500","30.9","57898","7.5","138771067","30.5"
"2025-01-22","ÆØÀÌ","61090","167243500","65760","-7.1","140741500","18.8","57949","5.4","144475883","15.8"
"2025-01-21","ÆØÀÌ","58240","157855500",,"0.0",,"0.0","58348","-0.2","142994983","10.4"
"2025-01-20","ÆØÀÌ","59470","158569500","61922","-4.0","122117000","29.9","57644","3.2","139563317","13.6"
"2025-01-19","ÆØÀÌ",,,"63030","0.0","120002000","0.0","57759","0.0","141080917","0.0"
"2025-01-18","ÆØÀÌ","61905","163117000","62905","-1.6","113896000","43.2","57269","8.1","142898333","14.1"
"2025-01-17","ÆØÀÌ","58655","148930500","60310","-2.7","110823500","34.4","57892","1.3","141837717","5.0"
"2025-01-16","ÆØÀÌ","58980","141382500","61640","-4.3","114557500","23.4","58172","1.4","135850450","4.1"
"2025-01-15","ÆØÀÌ","59655","141129000","65805","-9.3","124611500","13.3","58283","2.4","129325833","9.1"
"2025-01-14","ÆØÀÌ","64275","153718500",,"0.0",,"0.0","58568","9.7","127151250","20.9"
"2025-01-13","ÆØÀÌ","69115","163722000","67075","3.0","121442500","34.8","58326","18.5","129240383","26.7"
"2025-01-12","ÆØÀÌ",,,"68600","0.0","122767500","0.0","58021","0.0","130004467","0.0"
"2025-01-11","ÆØÀÌ","68230","154195000","67470","1.1","123291500","25.1","58196","17.2","128170050","20.3"
"2025-01-10","ÆØÀÌ","66535","148278500","68237","-2.5","133764500","10.9","59181","12.4","126939450","16.8"
"2025-01-09","ÆØÀÌ","65555","152186500","65080","0.7","131984000","15.3","59789","9.6","128613667","18.3"
"2025-01-08","ÆØÀÌ","67355","162711000","70855","-4.9","145971000","11.5","61172","10.1","132019967","23.2"
"2025-01-07","ÆØÀÌ","67045","174936000",,"0.0",,"0.0","63073","6.3","138110933","26.7"
"2025-01-06","ÆØÀÌ","69770","193854000","70650","-1.2","136530000","42.0","63463","9.9","139199600","39.3"
"2025-01-05","ÆØÀÌ",,,"68465","0.0","131781500","0.0","63602","0.0","141764967","0.0"
"2025-01-04","ÆØÀÌ","69890","197126500","70755","-1.2","148658500","32.6","64225","8.8","145147203","35.8"
"2025-01-03","ÆØÀÌ","70130","197624500","71260","-1.6","166960000","18.4","64735","8.3","149153850","32.5"
"2025-01-02","ÆØÀÌ",,,,"0.0",,"0.0","65311","0.0","152518767","0.0"
"2025-01-01","ÆØÀÌ",,,,"0.0",,"0.0","64834","0.0","154210200","0.0"
"2024-12-31","ÆØÀÌ","70715","199575500",,"0.0",,"0.0","64039","10.4","153482051","30.0"
"2024-12-30","ÆØÀÌ","66270","179135500","68975","-3.9","146275500","22.5","62849","5.4","152075423","17.8"
"2024-12-29","ÆØÀÌ",,,"67045","0.0","132748000","0.0","61705","0.0","148420193","0.0"
"2024-12-28","ÆØÀÌ","64175","169340000","69855","-8.1","136867500","23.7","59770","7.4","143852658","17.7"
"2024-12-27","ÆØÀÌ","61155","160188000","67740","-9.7","138631000","15.5","59020","3.6","139786833","14.6"
"2024-12-26","ÆØÀÌ","62975","158386000","65980","-4.6","133553000","18.6","59573","5.7","135049708","17.3"
"2024-12-25","ÆØÀÌ","61660","153107500","71205","-13.4","140172500","9.2","60156","2.5","131950283","16.0"
"2024-12-24","ÆØÀÌ","61005","152579500",,"0.0",,"0.0","60362","1.1","128413250","18.8"
"2024-12-23","ÆØÀÌ","63895","168599000","67180","-4.9","144120000","17.0","60979","4.8","124252717","35.7"
"2024-12-22","ÆØÀÌ",,,"64805","0.0","148224000","0.0","61396","0.0","120947200","0.0"
"2024-12-21","ÆØÀÌ","59005","158226500","69865","-15.5","148873000","6.3","60961","-3.2","114985767","37.6"
"2024-12-20","ÆØÀÌ","64580","161543500","63870","1.1","122239000","32.2","60792","6.2","110073667","46.8"
"2024-12-19","ÆØÀÌ","60230","141150000","63040","-4.5","104091500","35.6","60488","-0.4","107444550","31.4"
"2024-12-18","ÆØÀÌ","58630","135429700","66700","-12.1","103660500","30.6","59962","-2.2","103720750","30.6"
"2024-12-17","ÆØÀÌ","57885","136991000",,"0.0",,"0.0","60325","-4.0","101280233","35.3"
"2024-12-16","ÆØÀÌ","62260","155906500","66740","-6.7","100371500","55.3","60714","2.5","100196633","55.6"
"2024-12-15","ÆØÀÌ",,,"63890","0.0","96086500","0.0","61748","0.0","100438817","0.0"
"2024-12-14","ÆØÀÌ","60445","149948000","65090","-7.1","97624000","53.6","62674","-3.6","99421650","50.8"
"2024-12-13","ÆØÀÌ","61285","139729000","64580","-5.1","100072000","39.6","62918","-2.6","98710450","41.6"
"2024-12-12","ÆØÀÌ","59460","127320500","64575","-7.9","103217500","23.4","62667","-5.1","99003567","28.6"
"2024-12-11","ÆØÀÌ","58440","121239500","70680","-17.3","113451500","6.9","61714","-5.3","98353917","23.3"
"2024-12-10","ÆØÀÌ","60575","125777500",,"0.0",,"0.0","60800","-0.4","96271500","30.6"
"2024-12-09","ÆØÀÌ","59520","120791000","63555","-6.3","102093500","18.3","59764","-0.4","95907583","25.9"
"2024-12-08","ÆØÀÌ",,,"65560","0.0","107494000","0.0","59072","0.0","94656517","0.0"
"2024-12-07","ÆØÀÌ","56915","110702500","62530","-9.0","106626000","3.8","59224","-3.9","93832433","18.0"
"2024-12-06","ÆØÀÌ","57680","109734500","63135","-8.6","110110000","-0.3","59162","-2.5","92457333","18.7"
"2024-12-05","ÆØÀÌ","57040","108842500","62985","-9.4","105942000","2.7","58962","-3.3","91573983","18.9"
"2024-12-04","ÆØÀÌ","57355","109351500","66985","-14.4","103481500","5.7","59752","-4.0","92056192","18.8"
"2024-12-03","ÆØÀÌ","55220","105527500",,"0.0",,"0.0","59735","-7.6","89298508","18.2"
"2024-12-02","ÆØÀÌ","59260","111773000",,"0.0",,"0.0","59156","0.2","86621808","29.0"
"2024-12-01","ÆØÀÌ",,,"68415","0.0","92946000","0.0","59435","0.0","85295142","0.0"
"2024-11-30","ÆØÀÌ","60175","111454000","65065","-7.5","95543000","16.7","58986","2.0","83399767","33.6"
"2024-11-29","ÆØÀÌ","55130","103165500","61715","-10.7","92004500","12.1","58091","-5.1","82298883","25.4"
"2024-11-28","ÆØÀÌ","57455","109327000","64040","-10.3","96294000","13.5","57754","-0.5","81946517","33.4"
"2024-11-27","ÆØÀÌ","58020","111842500","64535","-10.1","98639000","13.4","56734","2.3","81426783","37.4"
"2024-11-26","ÆØÀÌ","61470","120440000",,"0.0",,"0.0","56126","9.5","82468650","46.0"
"2024-11-25","ÆØÀÌ","59060","117402000","63505","-7.0","95223500","23.3","56534","4.5","84075750","39.6"
"2024-11-24","ÆØÀÌ",,,"62860","0.0","91097500","0.0","57320","0.0","85704417","0.0"
"2024-11-23","ÆØÀÌ","57635","115340500","63475","-9.2","93734000","23.1","58139","-0.9","87825233","31.3"
"2024-11-22","ÆØÀÌ","58455","114530000","64580","-9.5","101327500","13.0","59341","-1.5","91655183","25.0"
"2024-11-21","ÆØÀÌ","53375","105397500","66475","-19.7","111625500","-5.6","59778","-10.7","95990267","9.8"
"2024-11-20","ÆØÀÌ","56965","113285000","68345","-16.7","119279000","-5.0","59086","-3.6","99220900","14.2"
"2024-11-19","ÆØÀÌ","58705","113807500",,"0.0",,"0.0","58678","0.0","102663350","10.9"
"2024-11-18","ÆØÀÌ","60610","117414500","63175","-4.1","112504500","4.4","58132","4.3","104275983","12.6"
"2024-11-17","ÆØÀÌ",,,"64015","0.0","112809500","0.0","57039","0.0","104455133","0.0"
"2024-11-16","ÆØÀÌ","54905","104619000","63915","-14.1","112352000","-6.9","56781","-3.3","103822883","0.8"
"2024-11-15","ÆØÀÌ","58510","108445500","62560","-6.5","113315000","-4.3","57370","2.0","104489783","3.8"
"2024-11-14","ÆØÀÌ","56175","102988500","63265","-11.2","117098000","-12.0","56968","-1.4","105908550","-2.8"
"2024-11-13","ÆØÀÌ","57545","108637000","66330","-13.2","117222000","-7.3","56834","1.3","104501550","4.0"
"2024-11-12","ÆØÀÌ","53685","101562000",,"0.0",,"0.0","57030","-5.9","103544117","-1.9"
"2024-11-11","ÆØÀÌ","60540","112351500","63410","-4.5","106527000","5.5","58342","3.8","104671450","7.3"
"2024-11-10","ÆØÀÌ",,,"63495","0.0","106331000","0.0","57828","0.0","104833683","0.0"
"2024-11-09","ÆØÀÌ","57865","105463500","61625","-6.1","108927000","-3.2","57397","0.8","106379717","-0.9"
"2024-11-08","ÆØÀÌ","58650","108521000","61170","-4.1","122727000","-11.6","58062","1.0","105656183","2.7"
"2024-11-07","ÆØÀÌ","61765","115396000","59150","4.4","134232000","-14.0","58496","5.6","107507617","7.3"
"2024-11-06","ÆØÀÌ","59590","112985500","66805","-10.8","163525500","-30.9","56958","4.6","107886083","4.7"
"2024-11-05","ÆØÀÌ","57715","111549500",,"0.0",,"0.0","57456","0.5","110653467","0.8"
"2024-11-04","ÆØÀÌ","64840","127762000",,"0.0",,"0.0","58294","11.2","115975567","10.2"
"2024-11-03","ÆØÀÌ",,,"70310","0.0","159069000","0.0","57950","0.0","120995017","0.0"
"2024-11-02","ÆØÀÌ","63650","121184500","60305","5.5","139466000","-13.1","57539","10.6","125110167","-3.1"
"2024-11-01","ÆØÀÌ","61865","115647500","57145","8.3","124946000","-7.4","56730","9.1","125667500","-8.0"
"2024-10-31","ÆØÀÌ","59030","113278500","53770","9.8","114898500","-1.4","54816","7.7","126203933","-10.2"
"2024-10-30","ÆØÀÌ","58115","113999000","58115","0.0","122499000","-6.9","53780","8.1","126069400","-9.6"
