품목명,연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합,주간_평균단가_차,금액_합_차,반입량_합_차
깐마늘_통합,2016,32,6,6093.929335374213,413359370.0,67427.0,0.0,0.0,0.0
깐마늘_통합,2016,33,6,5992.711120876396,437827100.0,73040.0,0.0,0.0,0.0
깐마늘_통합,2016,34,6,6186.326486953018,429635210.0,69130.0,0.0,0.0,0.0
깐마늘_통합,2016,35,6,6085.663857253808,669121480.0,107944.0,0.0,0.0,0.0
깐마늘_통합,2016,36,6,6314.454080218174,804353160.0,126600.0,0.0,0.0,0.0
깐마늘_통합,2016,37,3,5737.221100655454,270921960.0,46228.0,0.0,0.0,0.0
깐마늘_통합,2016,38,6,6109.25994779496,420752790.0,68960.0,0.0,0.0,0.0
깐마늘_통합,2016,39,6,6092.058835758665,498379385.0,81520.0,0.0,0.0,0.0
깐마늘_통합,2016,40,6,6220.802610912916,537466610.0,86410.0,0.0,0.0,0.0
깐마늘_통합,2016,41,6,6100.550717026989,566876670.0,92976.0,0.0,0.0,0.0
깐마늘_통합,2016,42,6,6116.682891421406,485430440.0,79890.0,0.0,0.0,0.0
깐마늘_통합,2016,43,6,6204.589187701553,513713960.0,83020.0,0.0,0.0,0.0
깐마늘_통합,2016,44,6,6345.126236854138,589803950.0,93690.0,0.0,0.0,0.0
깐마늘_통합,2016,45,6,6595.956894121824,602925800.0,91590.0,0.0,0.0,0.0
깐마늘_통합,2016,46,6,6477.393951185233,571197990.0,88423.0,0.0,0.0,0.0
깐마늘_통합,2016,47,6,6541.797687134681,541944620.0,83455.0,0.0,0.0,0.0
깐마늘_통합,2016,48,6,6534.818262951762,557187870.0,84422.0,0.0,0.0,0.0
깐마늘_통합,2016,49,6,6561.760705605045,435556920.0,66390.0,0.0,0.0,0.0
깐마늘_통합,2016,50,6,6414.425285631507,422545690.0,65920.0,0.0,0.0,0.0
깐마늘_통합,2016,51,6,6304.129042762092,584002310.0,92610.0,0.0,0.0,0.0
깐마늘_통합,2016,52,6,6330.370931707282,467894180.0,74160.0,0.0,0.0,0.0
깐마늘_통합,2017,1,5,6255.912389254762,314137110.0,50172.0,0.0,0.0,0.0
깐마늘_통합,2017,2,6,5695.899339862704,472975996.0,89982.0,0.0,0.0,0.0
깐마늘_통합,2017,3,6,6186.142003215246,521535290.0,84943.0,0.0,0.0,0.0
깐마늘_통합,2017,4,5,6418.555806001211,452632470.0,71555.0,0.0,0.0,0.0
깐마늘_통합,2017,5,4,6139.03428534888,246280950.0,40067.0,0.0,0.0,0.0
깐마늘_통합,2017,6,6,6107.458729033646,406990360.0,66826.0,0.0,0.0,0.0
깐마늘_통합,2017,7,6,6116.299549158339,390341610.0,63817.0,0.0,0.0,0.0
깐마늘_통합,2017,8,6,6032.824997263051,491079950.0,81879.0,0.0,0.0,0.0
깐마늘_통합,2017,9,6,6063.887554232689,487514595.0,80343.0,0.0,0.0,0.0
깐마늘_통합,2017,10,6,5898.295186221822,507125420.0,86173.0,0.0,0.0,0.0
깐마늘_통합,2017,11,6,5831.862765780941,449916230.0,77102.0,0.0,0.0,0.0
깐마늘_통합,2017,12,6,6015.8212063009705,405079570.0,67274.0,0.0,0.0,0.0
깐마늘_통합,2017,13,6,5860.805867837451,450957970.0,77136.0,0.0,0.0,0.0
깐마늘_통합,2017,14,6,5722.016422223719,491712360.0,86581.0,0.0,0.0,0.0
깐마늘_통합,2017,15,6,5773.877052607379,453963020.0,78450.0,0.0,0.0,0.0
깐마늘_통합,2017,16,6,5516.541094870015,474055930.0,85881.0,0.0,0.0,0.0
깐마늘_통합,2017,17,6,5504.097929707412,547005340.0,99507.0,0.0,0.0,0.0
깐마늘_통합,2017,18,6,5683.9325537284285,506679110.0,89455.0,0.0,0.0,0.0
깐마늘_통합,2017,19,6,5544.556480064212,485487270.0,87615.0,0.0,0.0,0.0
깐마늘_통합,2017,20,6,5380.836861191972,482239060.0,91157.0,0.0,0.0,0.0
깐마늘_통합,2017,21,6,5330.931164628387,483547080.0,91706.0,0.0,0.0,0.0
깐마늘_통합,2017,22,6,5398.17664342869,444916900.0,82021.0,0.0,0.0,0.0
깐마늘_통합,2017,23,6,5211.737784459305,500005500.0,94779.0,0.0,0.0,0.0
깐마늘_통합,2017,24,6,4909.827068324921,511273120.0,105599.0,0.0,0.0,0.0
깐마늘_통합,2017,25,6,4893.651655498797,421310030.0,86484.0,0.0,0.0,0.0
깐마늘_통합,2017,26,6,5130.030780572327,758754750.0,150083.0,0.0,0.0,0.0
깐마늘_통합,2017,27,6,5019.544094334636,351377490.0,70188.0,0.0,0.0,0.0
깐마늘_통합,2017,28,6,5264.469827819238,489864730.0,93021.0,0.0,0.0,0.0
깐마늘_통합,2017,29,6,5233.332311620588,442268100.0,84731.0,0.0,0.0,0.0
깐마늘_통합,2017,30,6,5108.341422192961,380328100.0,74382.0,0.0,0.0,0.0
깐마늘_통합,2017,31,6,5480.523119179582,463556580.0,89487.0,0.0,0.0,0.0
깐마늘_통합,2017,32,6,5489.462986698448,424135480.0,76982.0,0.0,0.0,0.0
깐마늘_통합,2017,33,6,5362.766930497924,390981080.0,72902.0,0.0,0.0,0.0
깐마늘_통합,2017,34,6,5296.641930403965,434052840.0,82132.0,0.0,0.0,0.0
깐마늘_통합,2017,35,6,5284.8087480969525,594541320.0,114837.0,0.0,0.0,0.0
깐마늘_통합,2017,36,6,5262.083791725519,468537190.0,89835.0,0.0,0.0,0.0
깐마늘_통합,2017,37,6,5461.891660628487,618700930.0,112858.0,0.0,0.0,0.0
깐마늘_통합,2017,38,6,5386.694622208742,959696170.0,178060.0,0.0,0.0,0.0
깐마늘_통합,2017,39,6,5578.100707274164,731510880.0,130909.0,0.0,0.0,0.0
깐마늘_통합,2017,40,3,5676.024011017998,208311820.0,36745.0,0.0,0.0,0.0
깐마늘_통합,2017,41,6,5704.298134523083,593988410.0,103764.0,0.0,0.0,0.0
깐마늘_통합,2017,42,6,5741.506416593256,550703410.0,96090.0,0.0,0.0,0.0
깐마늘_통합,2017,43,6,5808.941730261468,548447920.0,94521.0,0.0,0.0,0.0
깐마늘_통합,2017,44,6,5672.023760962163,613837790.0,108409.0,0.0,0.0,0.0
깐마늘_통합,2017,45,6,5738.960173615356,657999260.0,114630.0,0.0,0.0,0.0
깐마늘_통합,2017,46,6,5707.237843972357,835481260.0,146827.0,0.0,0.0,0.0
깐마늘_통합,2017,47,6,5629.791991026352,788882910.0,139973.0,0.0,0.0,0.0
깐마늘_통합,2017,48,6,5560.120406710746,569013900.0,102230.0,0.0,0.0,0.0
깐마늘_통합,2017,49,6,5477.750748308422,496207940.0,90207.0,0.0,0.0,0.0
깐마늘_통합,2017,50,6,5352.949578312812,630346580.0,118636.0,0.0,0.0,0.0
깐마늘_통합,2017,51,6,5510.4137752525685,521163240.0,94349.0,0.0,0.0,0.0
깐마늘_통합,2017,52,6,5547.03439273305,596288108.0,108882.0,0.0,0.0,0.0
깐마늘_통합,2018,1,5,5217.038788640284,451745360.0,86034.0,0.0,0.0,0.0
깐마늘_통합,2018,2,6,5403.784325860754,451676140.0,83747.0,0.0,0.0,0.0
깐마늘_통합,2018,3,6,5382.087501027611,557696900.0,104429.0,0.0,0.0,0.0
깐마늘_통합,2018,4,6,5526.504466119807,363190720.0,65505.0,0.0,0.0,0.0
깐마늘_통합,2018,5,6,5395.808477725578,687702480.0,129284.0,0.0,0.0,0.0
깐마늘_통합,2018,6,6,5629.931529242079,435345160.0,77237.0,0.0,0.0,0.0
깐마늘_통합,2018,7,4,5859.126227136316,382769840.0,65509.0,0.0,0.0,0.0
깐마늘_통합,2018,8,6,5707.760818086551,263823880.0,46212.0,0.0,0.0,0.0
깐마늘_통합,2018,9,6,5682.4684151454085,342620560.0,60303.0,0.0,0.0,0.0
깐마늘_통합,2018,10,6,5741.147757657949,374498220.0,65266.0,0.0,0.0,0.0
깐마늘_통합,2018,11,6,5784.076198858197,416658520.0,71941.0,0.0,0.0,0.0
깐마늘_통합,2018,12,6,5608.522971833994,433842620.0,77394.0,0.0,0.0,0.0
깐마늘_통합,2018,13,6,5670.500332076889,523973420.0,92257.0,0.0,0.0,0.0
깐마늘_통합,2018,14,6,5727.855735179767,440952750.0,76886.0,0.0,0.0,0.0
깐마늘_통합,2018,15,6,5889.418989295114,446583280.0,75995.0,0.0,0.0,0.0
깐마늘_통합,2018,16,6,6043.951343694895,472965850.0,78308.0,0.0,0.0,0.0
깐마늘_통합,2018,17,6,6054.832917677731,465121220.0,76826.0,0.0,0.0,0.0
깐마늘_통합,2018,18,6,5968.360928530926,508999830.0,85267.0,0.0,0.0,0.0
깐마늘_통합,2018,19,6,5868.001199275125,476913990.0,81525.0,0.0,0.0,0.0
깐마늘_통합,2018,20,6,5793.389449626717,428684130.0,74122.0,0.0,0.0,0.0
깐마늘_통합,2018,21,6,5780.803128478551,432751790.0,74816.0,0.0,0.0,0.0
깐마늘_통합,2018,22,6,5723.655636405499,365570810.0,63788.0,0.0,0.0,0.0
깐마늘_통합,2018,23,6,5675.198908995837,366868260.0,64649.0,0.0,0.0,0.0
깐마늘_통합,2018,24,6,5446.513528256482,363101090.0,66622.0,0.0,0.0,0.0
깐마늘_통합,2018,25,6,5439.202608783868,341475910.0,62856.0,0.0,0.0,0.0
깐마늘_통합,2018,26,6,5400.095246695113,307720100.0,57092.0,0.0,0.0,0.0
깐마늘_통합,2018,27,6,5180.197329113128,301699580.0,58253.0,0.0,0.0,0.0
깐마늘_통합,2018,28,6,4922.021489056371,337921635.0,68787.0,0.0,0.0,0.0
깐마늘_통합,2018,29,6,5075.707934783125,322290020.0,63476.0,0.0,0.0,0.0
깐마늘_통합,2018,30,6,4994.5319079905485,333806650.0,66946.0,0.0,0.0,0.0
깐마늘_통합,2018,31,5,4914.791716948249,373070040.0,77438.0,0.0,0.0,0.0
깐마늘_통합,2018,32,6,4834.847378270113,262955470.0,54341.0,0.0,0.0,0.0
깐마늘_통합,2018,33,6,4787.886689502149,293350590.0,61271.0,0.0,0.0,0.0
깐마늘_통합,2018,34,6,4623.641665097708,308006980.0,67422.0,0.0,0.0,0.0
깐마늘_통합,2018,35,6,4599.940178732039,327200320.0,71290.0,0.0,0.0,0.0
깐마늘_통합,2018,36,6,4578.066509150031,349892090.0,76792.0,0.0,0.0,0.0
깐마늘_통합,2018,37,6,4612.698600229629,363868390.0,79018.0,0.0,0.0,0.0
깐마늘_통합,2018,38,6,4465.326034594428,508003330.0,113827.0,0.0,0.0,0.0
깐마늘_통합,2018,39,3,4580.849121255199,141847550.0,30882.0,0.0,0.0,0.0
깐마늘_통합,2018,40,6,4488.345935839888,304512370.0,67886.0,0.0,0.0,0.0
깐마늘_통합,2018,41,6,4476.044121559331,399357230.0,89275.0,0.0,0.0,0.0
깐마늘_통합,2018,42,6,4787.1597754428185,346176920.0,73529.0,0.0,0.0,0.0
깐마늘_통합,2018,43,6,4783.706711570337,409420170.0,85718.0,0.0,0.0,0.0
